Database;URL;DOI;Author(s);Year;Venue;Type;Title;Abstract;Keywords;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-030-41579-2_31;10.1007/978-3-030-41579-2_31;Matthias MarxMonina SchwarzMaximilian BlochbergerFrederik WilleHannes Federrath;2020;ICICS 2019;Conference;Context-Aware IPv6 Address Hopping;"Different web browsers have developed approaches to better isolate the activities of users on different websites. However, those only work on the application-level and using the user’s IP address, all actions of the users can be linked. We present a context-aware IP address alteration scheme that utilizes the large IPv6 address space to protect against IP-address-based tracking.

We propose a scheme where a distinct outbound IPv6 address is used for each visited website and its dependencies. A prototype has been implemented and support for several web protocols and applications has been ensured. We evaluated the impact of the prototype on browsing performance. The results indicate that the impact is negligible. In combination with existing application-level measures, effective protection against tracking can be achieved.";browser, privacy, tracking, ipv6, address hopping;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-642-23644-0_1;10.1007/978-3-642-23644-0_1;Erik BosmanAsia SlowinskaHerbert Bos;2011;RAID 2011;Conference;Minemu: The World’s Fastest Taint Tracker;Dynamic taint analysis is a powerful technique to detect memory corruption attacks. However, with typical overheads of an order of magnitude, current implementations are not suitable for most production systems. The research question we address in this paper is whether the slow-down is a fundamental speed barrier, or an artifact of bolting information flow tracking on emulators really not designed for it. In other words, we designed a new type of emulator from scratch with the goal of removing superfluous instructions to propagate taint. The results are very promising. The emulator, known as Minemu, incurs a slowdown of 1.5x-3x for real and complex applications and 2.4x for SPEC INT2006, while tracking taint at byte level granularity. Minemu’s performance is significantly better than that of existing systems, despite the fact that we have not applied some of their optimizations yet. We believe that the new design may be suitable for certain classes of applications in production systems.;dynamic taint tracking, jit compilation, intrustion detection;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-319-67280-9_10;10.1007/978-3-319-67280-9_10;Max MaassPascal WichmannHenning PridöhlDominik Herrmann;2017;APF 2017;Conference;PrivacyScore: Improving Privacy and Security via Crowd-Sourced Benchmarks of Websites;Website owners make conscious and unconscious decisions that affect their users, potentially exposing them to privacy and security risks in the process. In this paper we introduce PrivacyScore, an automated website scanning portal that allows anyone to benchmark security and privacy features of multiple websites. In contrast to existing projects, the checks implemented in PrivacyScore cover a wider range of potential privacy and security issues. Furthermore, users can control the ranking and analysis methodology. Therefore, PrivacyScore can also be used by data protection authorities to perform regularly scheduled compliance checks. In the long term we hope that the transparency resulting from the published assessments creates an incentive for website owners to improve their sites. The public availability of a first version of PrivacyScore was announced at the ENISA Annual Privacy Forum in June 2017.;scanner, tracking, complicance, security, privacy, data protection;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-642-01957-9_13;10.1007/978-3-642-01957-9_13;Lei LiuSongqing Chen;2009;ACNS 2009;Conference;Malyzer: Defeating Anti-detection for Application-Level Malware Analysis;"Malware analysis is critical for malware detection and prevention. To defeat malware analysis and detection, today malware commonly adopts various sophisticated anti-detection techniques, such as performing debugger, emulator, and virtual machine fingerprinting, and camouflaging its traffic as normal legitimate traffic. These mechanisms produce more and more stealthy malware that greatly challenges existing malware analysis schemes.

In this work, targeting application level stealthy malware, we propose Malyzer, the key of which is to defeat malware anti-detection mechanisms at startup and runtime so that malware behavior during execution can be accurately captured and distinguished. For analysis, Malyzer always starts a copy, referred to as a shadow process, of any suspicious process on the same host by defeating all startup anti-detection mechanisms employed in the process. To defeat internal runtime anti-detection attempts, Malyzer further makes this shadow process mutually invisible to the original suspicious process. To defeat external anti-detection attempts, Malyzer makes as if the shadow process runs on a different machine to the outside. Since ultimately malware will conduct local information harvesting or dispersion, Malyzer constantly monitors the shadow process’s behavior and adopts a hybrid scheme for its behavior analysis. In our experiments, Malyzer can accurately detect all malware samples that employ various anti-detection techniques.";virtual machine, process list, suspended process, portable executable, benign application;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-662-47854-7_13;10.1007/978-3-662-47854-7_13;Sören PreibuschThomas PeetzGunes AcarBettina Berendt;2015;FC 2015;Conference;Purchase Details Leaked to PayPal;We describe a new form of online tracking: explicit, yet unnecessary leakage of personal information and detailed shopping habits from online merchants to payment providers. In contrast to Web tracking, online shops make it impossible for their customers to avoid this proliferation of their data. We record and analyse leakage patterns for N = 881 US Web shops sampled from Web users’ actual online purchase sessions. More than half of the sites shared product names and details with PayPal, allowing the payment provider to build up comprehensive consumption profiles across the sites consumers buy from, subscribe to, or donate to. In addition, PayPal forwards customers’ shopping details to Omniture, a third-party data aggregator with an even larger tracking reach. Leakage to PayPal is commonplace across product categories and includes details of medication or sex toys. We provide recommendations for merchants.;personal information, online shop, payment provider, online payment, personal identifiable information;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-319-39028-4_7;10.1007/978-3-319-39028-4_7;Dominik HerrmannJens LindemannEphraim ZimmerHannes Federrath;2016;iNetSect 2015;Conference;Anonymity Online for Everyone: What Is Missing for Zero-Effort Privacy on the Internet?;Privacy is difficult to protect on the Internet, because surveillance is ubiquitous. Researchers have conceived many different countermeasures. However, these solutions have so far failed to find widespread adoption due to poor performance and usability. What is missing is an Internet access that offers a decent level of privacy for average users out of the box. In this paper, we survey suitable lightweight anonymity solutions and present avenues for future research so that Internet service providers can offer anonymity online without compromising performance and usability, i.e. an effortless solution for customers.;internet service provider, attack model, address assignment, anonymity service, anonymisation network;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-031-46677-9_8;10.1007/978-3-031-46677-9_8;Zhenyu YangXi XiaoBin ZhangGuangwu HuQing LiQixu Liu;2023;ADMA 2023;Conference;AAP: Defending Against Website Fingerprinting Through Burst Obfuscation;Website fingerprinting enables eavesdroppers to identify the website a user is visiting by network surveillance, even if the traffic is protected by anonymous communication technologies such as Tor. To defend against website fingerprinting attacks, Tor provides a circuit padding framework as the official way to implement padding defenses. However, the circuit padding framework can not support additional delay, which makes most defense schemes unworkable. In this paper, we study the patterns of HTTP requests and responses generated during website loading and analyze how these high-level features correlate with the underlying features of network traffic. We find that the HTTP requests sent and responses received continuously in a short period of time, which we call HTTP burst, have a significant impact on network traffic. Then we propose a novel website fingerprinting defense algorithm, Advanced Adaptive Padding(AAP). The design principle of AAP is similar to Adaptive Padding, which works by obfuscating burst features. AAP does not delay application packets and is in line with the design philosophy of low latency networks such as Tor. Besides, AAP uses a more sensible traffic obfuscation strategy, which makes it more effective. Experiments show that AAP outperforms other zero-delay defenses with moderate bandwidth overhead.;website fingerprinting defense, tor, circuit padding framework, traffic analysis;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-642-41284-4_12;10.1007/978-3-642-41284-4_12;Mitsuaki AkiyamaTakeshi YagiKazufumi AokiTakeo HariuYouki Kadobayashi;2013;RAID 2013;Conference;Active Credential Leakage for Observing Web-Based Attack Cycle;A user who accesses a compromised website is usually redirected to an adversary’s website and forced to download malware. Additionally, the adversary steals the user’s credentials by using information-stealing malware. Furthermore, the adversary may try to compromise public websites owned by individual users by impersonating the website administrator using the stolen credential. These compromised websites then become landing sites for drive-by download malware infection. Identifying malicious websites using crawling techniques requires large resources and takes a lot of time. To observe web-based attack cycles to achieve effective detection and prevention, we propose a novel observation system based on a honeytoken that actively leaks credentials and lures adversaries to a decoy that behaves like a compromised web content management system. The proposed procedure involves collecting malware, leaking credentials, observing access by an adversary, and inspecting the compromised web content. It can instantly discover malicious entities without conducting large-scale web crawling because of the direct observation on the compromised web content management system. Our system enables continuous and stable observation for about one year. In addition, almost all the malicious websites we discovered had not been previously registered in public blacklists.;web-based malware, client honeypot, malware sandbox, honeytokens, information leakage ;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-030-86586-3_11;10.1007/978-3-030-86586-3_11;Davy PreuveneersSander JoosWouter Joosen;2021;TrustBus 2021;Conference;AuthGuide: Analyzing Security, Privacy and Usability Trade-Offs in Multi-factor Authentication;Multi-factor authentication (MFA) reduces the risk of compromised credentials. However, selecting, configuring and combining different authentication factors is a challenge for both security administrators and end-users, as the configuration possibilities are large and the implications of choices on security, privacy and usability are not always well understood. This concern is further aggravated when the security administrator grants the end-user some flexibility for the selection of authentication factors, or when the latter are combined in a risk-adaptive manner. In this work, we present AUTHGUIDE, an authentication knowledge and configuration framework that increases the awareness about these trade-offs. Additionally, it raises the level of abstraction to configure MFA for a given identity and access management (IAM) platform through a series of questions by mapping the responses onto the IAM’s workflow of authentication steps for registration and login. We implemented AUTHGUIDE, validated it on top of the open source Keycloak IAM, and evaluated the effectiveness of our framework to analyze the security, privacy and usability trade-offs.;authentication, security, privacy, usability;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-030-44081-7_17;10.1007/978-3-030-44081-7_17;Waqar AqeelDebopam BhattacherjeeBalakrishnan ChandrasekaranP. Brighten GodfreyGregory LaughlinBruce MaggsAnkit Singla;2020;PAM 2020;Conference;Untangling Header Bidding Lore;Header bidding (HB) is a relatively new online advertising technology that allows a content publisher to conduct a client-side (i.e., from within the end-user’s browser), real-time auction for selling ad slots on a web page. We developed a new browser extension for Chrome and Firefox to observe this in-browser auction process from the user’s perspective. We use real end-user measurements from 393,400 HB auctions to (a) quantify the ad revenue from HB auctions, (b) estimate latency overheads when integrating with ad exchanges and discuss their implications for ad revenue, and (c) break down the time spent in soliciting bids from ad exchanges into various factors and highlight areas for improvement. For the users in our study, we find that HB increases ad revenue for web sites by  compared to that in real-time bidding as reported in a prior work. We also find that the latency overheads in HB can be easily reduced or eliminated and outline a few solutions, and pitch the HB platform as an opportunity for privacy-preserving advertising.;;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-031-26422-1_17;10.1007/978-3-031-26422-1_17;Tianyu CuiGang XiongChang LiuJunzheng ShiPeipei FuGaopeng Gou;2023;ECML PKDD 2022;Conference;GALG: Linking Addresses in Tracking Ecosystem Using Graph Autoencoder with Link Generation;Online tracking technology is a critical tool for user-centric platform practitioners to link users across multiple web pages and make detailed user profiles for the improvement of recommender systems like targeted advertising. Recently, due to the dynamic address allocation and security upgrade, mitigations indirectly make prior tracking techniques unreliable. To overcome the problem, traffic-based tracking techniques are proposed to link users’ dynamic addresses through similarity learning of user behaviors in their traffic interaction. However, prior work either provides poor similarity learning ability or is impractical when applied to a large scale. In this paper, we propose GALG, a graph-based artificial intelligence approach to link addresses for user tracking on TLS encrypted traffic. GALG uses the framework of graph autoencoder and adversarial training to learn the user embedding with semantics and distributions. Employing a new theory – link generation, GALG could link all the addresses of target users based on the knowledge of address-service links. When evaluated on real-world user datasets, GALG outperforms existing approaches in both performance and practicality.;online tracking, graph neural networks, link prediction;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-319-29883-2_20;10.1007/978-3-319-29883-2_20;Silvia PuglisiDavid Rebollo-MonederoJordi Forné;2016;DPM 2015, QASA 2015;Conference;You Never Surf Alone. Ubiquitous Tracking of Users’ Browsing Habits;In the early age of the internet users enjoyed a large level of anonymity. At the time web pages were just hypertext documents ─ almost no personalisation of the user experience was offered. The Web today has evolved as a world wide distributed system following specific architectural paradigms. On the web now, an enormous quantity of user generated data is shared and consumed by a network of applications and services, reasoning upon users expressed preferences and their social and physical connections. Advertising networks follow users’ browsing habits while they surf the web, continuously collecting their traces and surfing patterns. We analyse how users tracking happens on the web by measuring their online footprint and estimating how quickly advertising networks are able to profile users by their browsing habits.;privacy, ubiquitous-tracking, privacy metrics;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-030-50323-9_2;10.1007/978-3-030-50323-9_2;Lakhdar MeftahRomain RouvoyIsabelle Chrisment;2020;DAIS 2020;Conference;Capturing Privacy-Preserving User Contexts with IndoorHash;"IoT devices are ubiquitous and widely adopted by end-users to gather personal and environmental data that often need to be put into context in order to gain insights. In particular, location is often a critical context information that is required by third parties in order to analyse such data at scale. However, sharing this information is i) sensitive for the user privacy and ii) hard to capture when considering indoor environments.

This paper therefore addresses the challenge of producing a new location hash, named INDOORHASH, that captures the indoor location of a user, without disclosing the physical coordinates, thus preserving their privacy. This location hash leverages surrounding infrastructure, such as WiFi access points, to compute a key that uniquely identifies an indoor location.

Location hashes are only known from users physically visiting these locations, thus enabling a new generation of privacy-preserving crowdsourcing mobile applications that protect from third parties re-identification attacks. We validate our results with a crowdsourcing campaign of 31 mobile devices during one month of data collection.";location hash, mobile computing, user privacy;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-319-69155-8_5;10.1007/978-3-319-69155-8_5;Ali TekeogluAli Şaman Tosun;2017;ISDDC 2017;Conference;An Experimental Framework for Investigating Security and Privacy of IoT Devices;With the rapid growth of Internet-of-Things (IoT) devices, security and privacy issues emerged as a potential roadblock for widespread adoption. Preliminary research indicates that many types of IoT devices have serious vulnerabilities. It is not easy to investigate security and privacy issues since each type of device is different and manual experiments need to be conducted on the device. In this paper, we propose a framework for investigation of security and privacy issues of IoT devices. The framework consists of four components, a testbed, set of topics to be investigated, a set of experiments for each topic investigated and a final report. Fundamental approach used in the framework is to capture layer 2 and layer 3 packets and to analyze the packets for various features. Proposed framework is low cost and is based on off-the-shelf hardware and open source software. Using the framework, we can investigate security and privacy issues of many IoT devices including HDMI sticks, IP cameras, activity trackers, smartwatches and drones. A large set of topics can be investigated on IoT devices using the framework including vulnerability issues, protocol security, firmware updates, authentication issues and privacy violations. Sample experimental results show the promise of the proposed framework. We believe this framework will serve as the foundation for a general automated framework to investigate security and privacy issues of most IoT devices.;iot devices, security, privacy, framework, iot testbed;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-642-41284-4_18;10.1007/978-3-642-41284-4_18;Johannes HoffmannStephan NeumannThorsten Holz;2013;raid 2013;Conference;Mobile Malware Detection Based on Energy Fingerprints — A Dead End?;"With the ever rising amount and quality of malicious software for mobile phones, multiple ways to detect such threats are desirable. Next to classical approaches such as dynamic and static analysis, the idea of detecting malicious activities based on the energy consumption introduced by them was recently proposed by several researchers. The key idea behind this kind of detection is the fact that each activity performed on a battery powered device drains a certain amount of energy from it. This implies that measuring the energy consumption may reveal unwanted and possibly malicious software running next to genuine applications on such a device: if the normal energy consumption is known for a device, additional used up energy should be detectable.

In this paper, we evaluate whether such an approach is indeed feasible for modern smartphones and argue that results presented in prior work are not applicable to such devices. By studying the typical energy consumption of different aspects of common Android phones, we show that it varies quite a lot in practice. Furthermore, empirical tests with both artificial and real-world malware indicate that the additional power consumed by such apps is too small to be detectable with the mean error rates of state-of-the art measurement tools.";power consumption, short message service, average power consumption, malicious activity, short time test;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-319-64701-2_52;10.1007/978-3-319-64701-2_52;Juha NurmiMikko S. Niemelä;2017;NSS 2017;Conference;Tor De-anonymisation Techniques;Tor offers a censorship-resistant and distributed platform that can provide easy-to-implement anonymity to web users, websites, and other web services. Tor enables web servers to hide their location, and Tor users can connect to these authenticated hidden services while the server and the user both stay anonymous. However, throughout the years of Tor’s existence, some users have lost their anonymity. This paper discusses the technical limitations of anonymity and the operational security challenges that Tor users will encounter. We present a hands-on demonstration of anonymity exposures that leverage traffic correlation attacks, electronic fingerprinting, operational security failures, and remote code execution. Based on published research and our experience with these methods, we will discuss what they are and how some of them can be exploited. Also, open problems, solutions, and future plans are discussed.;;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-642-41284-4_21;10.1007/978-3-642-41284-4_21;Vasilis PappasVasileios P. KemerlisAngeliki ZavouMichalis PolychronakisAngelos D. Keromytis;2013;RAID 2013;Conference;CloudFence: Data Flow Tracking as a Cloud Service;The risk of unauthorized private data access is among the primary concerns for users of cloud-based services. For the common setting in which the infrastructure provider and the service provider are different, users have to trust their data to both parties, although they interact solely with the latter. In this paper we propose CloudFence, a framework for cloud hosting environments that provides transparent, fine-grained data tracking capabilities to both service providers, as well as their users. CloudFence allows users to independently audit the treatment of their data by third-party services, through the intervention of the infrastructure provider that hosts these services. CloudFence also enables service providers to confine the use of sensitive data in well-defined domains, offering additional protection against inadvertent information leakage and unauthorized access. The results of our evaluation demonstrate the ease of incorporating CloudFence on existing real-world applications, its effectiveness in preventing a wide range of security breaches, and its modest performance overhead on real settings.;data auditing, data flow tracking, information confinement;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-031-05563-8_24;10.1007/978-3-031-05563-8_24;Leena AlghamdiAshwaq AlsoubaiMamtaj AkterFaisal AlghamdiPamela Wisniewski;2022;HCII 2022;Conference;A User Study to Evaluate a Web-Based Prototype for Smart Home Internet of Things Device Management;With the growing advances in the Internet of Things (IoT) technology, IoT device management platforms are becoming increasingly important. We conducted a web-based survey and usability study with 43 participants who use IoT devices frequently to: 1) examine their smart home IoT usage patterns and privacy preferences, and 2) evaluate a web-based prototype for smart home IoT device management. We found that participants perceived privacy as more important than the convenience afforded by the IoT devices. Based on their average scores of the privacy vs. convenience importance, participants with low privacy and low convenience significantly reported less privacy control and convenience preferences than participants with high privacy and high convenience. Overall, all participants were satisfied about the proposed website prototype and their actual usability evaluation demonstrated good understanding of the website features. This paper provides an empirical examination of the privacy versus convenience trade-offs smart home users make when managing their IoT devices.;iot device management, prototype evaluation, web-based prototype, privacy management;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-030-12085-6_8;10.1007/978-3-030-12085-6_8;Alexandros KornilakisPanagiotis PapadopoulosEvangelos Markatos;2019;IOSEC 2018;Conference;Incognitus: Privacy-Preserving User Interests in Online Social Networks;Online Social Networks have changed the way we reach news and information. An increasing number of people use social networks not only for communicating with friends and colleagues but also for their daily information needs. Apart from providing the users with personalized information in a timely manner, this functionality may also raise significant privacy concerns. The service provider is able to observe both the Pages a user is subscribed to and her inter- actions with them. The collected data can form a detailed user profile, which can later be used for several purposes ─ usually beyond the control of the user. To ad- dress these privacy concerns, we propose Incognitus: an approach to allow users browse Pages of OSNs without disclosing their interests or activity to the service provider. Our approach provides (i) a incognito mode of operation when browsing privacy-sensitive content. In this isolated, offline mode no tracking mechanisms can monitor the users behavior and no information can be leaked to the provider. At the same time, (ii) by using an obfuscation-based mechanism, Incognitus reduces the accuracy of the service provider when monitoring the interests of a user. Early results show that Incognitus has minimal bandwidth requirements and imposes reasonable latency to the users browsing experience.;;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-031-55829-0_4;10.1007/978-3-031-55829-0_4;Shuai LiAlessio BaioccoShouhuai Xu;2024;SUNRISE 2023;Conference;Characterizing Privacy Risks in Healthcare IoT Systems;The advancement in Internet of Things (IoT) technology has been having a huge societal and economic impact, effectively changing the paradigms in doing business including the healthcare industry. While citizens now can enjoy the convenience brought up by healthcare IoT systems, such as wearable healthcare IoT devices, the privacy risks incurred by these systems and devices are not well understood, let alone adequately addressed. In this paper we systematically characterize the privacy risks in healthcare IoT systems, by considering a range of privacy attack vectors such as those that can be imposed by healthcare IoT device fingerprinting and semi-honest Internet Service Providers. Then, we leverage these characteristics to guide us in exploring countermeasures for mitigating privacy risks in healthcare IoT systems. We hope the present study will serve as a baseline for designing a systematic solution to protect citizen’s privacy in healthcare IoT systems.;healthcare iot systems, healthcare iot devices, privacy, data breach, privacy risk, cyber risk;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-031-31108-6_1;10.1007/978-3-031-31108-6_1;Kris HeidJens Heider;2023;CRiSIS 2022;Conference;Context Correlation for Automated Dynamic Android App Analysis to Improve Impact Rating of Privacy and Security Flaws;Privacy and security flaws in apps are commonly detected by static and dynamic analysis approaches. However, the realistic impact rating for detected flaws is often limited. Static approaches lack runtime information and dynamic analysis miss program structure information. We aim to build a dynamic analysis environment and rate the flaw impact based on the data flow context. We correlate the traced API call chains with data sources and sinks of processed information. This way, the actual runtime information is used and program structures for significant data flows can be reconstructed. Therefore, this publication proposes a method for collecting execution traces based on automated function hooking and mechanisms to create and analyze data flow graphs from these traces. We demonstrate the scalability of our privacy and security analysis by automatically analyzing and evaluating the top 1000 free apps from Google Play. Manual app analysis and damn vulnerable app projects prove the high quality results of our automated approach during evaluation.;automated dynamic analysis, data flow graph, privacy, security, android, context correlation;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-030-02641-7_16;10.1007/978-3-030-02641-7_16;Tomer AshurJeroen DelvauxSanghan LeePieter MaeneEduard MarinSvetla NikovaOscar ReparazVladimir RožićDave SingeléeBohan YangBart Preneel;2018;CANS 2017;Conference;A Privacy-Preserving Device Tracking System Using a Low-Power Wide-Area Network;This paper presents the design and implementation of a low-power privacy-preserving device tracking system based on Internet of Things (IOT) technology. The system consists of low-power nodes and a set of dedicated beacons. Each tracking node broadcasts pseudonyms and encrypted versions of observed beacon identifiers over a Low-Power Wide-Area Network (LPWAN). Unlike most commercial systems, our solution ensures that the device owners are the only ones who can locate their devices. We present a detailed design and validate the result with a prototype implementation that considers power and energy consumption as well as side-channel attacks. Our implementation uses Physically Unclonable Function (PUF) technology for secure key-storage in an innovative way. We build and evaluate a complete demonstrator with off-the-shelf IoT nodes, Bluetooth Low Energy (BLE) beacons, and LoRa long distance communication (LPWAN). We validate the setup for a bicycle tracking application and also estimate the requirements for a low-cost ASIC node.;;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/11428572_8;10.1007/11428572_8;Anthony LaMarcaYatin ChawatheSunny ConsolvoJeffrey HightowerIan SmithJames ScottTimothy SohnJames HowardJeff HughesFred PotterJason TabertPauline PowledgeGaetano BorrielloBill Schilit;2005;Pervasive 2005;Conference;Place Lab: Device Positioning Using Radio Beacons in the Wild;Location awareness is an important capability for mobile computing. Yet inexpensive, pervasive positioning—a requirement for wide-scale adoption of location-aware computing—has been elusive. We demonstrate a radio beacon-based approach to location, called Place Lab, that can overcome the lack of ubiquity and high-cost found in existing location sensing approaches. Using Place Lab, commodity laptops, PDAs and cell phones estimate their position by listening for the cell IDs of fixed radio beacons, such as wireless access points, and referencing the beacons’ positions in a cached database. We present experimental results showing that 802.11 and GSM beacons are sufficiently pervasive in the greater Seattle area to achieve 20-30 meter median accuracy with nearly 100% coverage measured by availability in people’s daily lives.;global position system, access point, cell phone, ubiquitous computing, global position system receiver;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-319-11379-1_1;10.1007/978-3-319-11379-1_1;Marc KührerChristian RossowThorsten Holz;2014;RAID 2014;Conference;Paint It Black: Evaluating the Effectiveness of Malware Blacklists;"Blacklists are commonly used to protect computer systems against the tremendous number of malware threats. These lists include abusive hosts such as malware sites or botnet Command & Control and dropzone servers to raise alerts if suspicious hosts are contacted. Up to now, though, little is known about the effectiveness of malware blacklists.

In this paper, we empirically analyze 15 public malware blacklists and 4 blacklists operated by antivirus (AV) vendors. We aim to categorize the blacklist content to understand the nature of the listed domains and IP addresses. First, we propose a mechanism to identify parked domains in blacklists, which we find to constitute a substantial number of blacklist entries. Second, we develop a graph-based approach to identify sinkholes in the blacklists, i.e., servers that host malicious domains which are controlled by security organizations. In a thorough evaluation of blacklist effectiveness, we show to what extent real-world malware domains are actually covered by blacklists. We find that the union of all 15 public blacklists includes less than 20% of the malicious domains for a majority of prevalent malware families and most AV vendor blacklists fail to protect against malware that utilizes Domain Generation Algorithms.";blacklist evaluation, sinkholing servers, parking domains;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-642-38519-3_22;10.1007/978-3-642-38519-3_22;Mehdi KhalfaouiRefik MolvaLaurent Gomez;2013;Inscrypt 2012;Conference;Secure Product Tracking in Supply Chain;In this paper, we propose a secure and efficient product tracking mechanism implemented using wireless sensor nodes. This mechanism aims at tracking goods, and actions performed by each actor of the supply chain, while preserving the actors’ privacy. Our solution is based on generating identifiers of the actors and their activities using AND Anti collusion codes. The identifiers are encrypted using homomorphic encryption to ensure security against adversaries, and to be able to compress the collected identifiers. In this work, wireless sensor nodes are not required to perform complex computation, which makes our solution feasible.;supply chain, sensor neworks, tracking, privacy, and-acc, homomorphic encryption;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-319-27164-4_1;10.1007/978-3-319-27164-4_1;Aggelos KiayiasThomas ZachariasBingsheng Zhang;2015;e-Democracy 2015;Conference;On the Necessity of Auditing for Election Privacy in e-Voting Systems;The importance of voter auditing in order to ensure election integrity has been extensively studied in the e-voting literature. On the other hand, the necessity of auditing to protect voter privacy in an e-voting system has been mostly overlooked. In this work, we investigate election privacy issues that appear in the state-of-the-art implementations of e-voting systems that apply threshold public key encryption (TPKE) in the client like Helios and use a bulletin board (BB). More specifically, we show that without PKI support or -more generally- authenticated BB “append” operations, such systems are vulnerable to attacks where the malicious election server can act as a man-in-the-middle between the election trustees and the voters, hence it can learn how the voters have voted. We suggest compulsory trustee auditing as countermeasure for this type of man-in-the-middle attacks. Furthermore, we propose a list of guidelines to avoid some common, subtle, yet important problems that may appear during the implementation of any TPKE-based e-voting system.;;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-981-99-2233-8_13;10.1007/978-981-99-2233-8_13;Sagar Swamy RajanNeeraj Anand Sharma;2023;DataCom 2022;Conference;Electronic and Remote Voting Systems: Solutions to Existing Problems – An Experimental Approach to Secure Voting Platforms on Endpoints;The need for secure delivery solutions on endpoints has become essential as true and neutral outcomes can be provided by the systems themselves. This has arisen due to several discrepancies found in the manual voting systems and various vulnerability assessments done on the existing electronic and remote voting systems. Though these systems provide the convenience of voting using any endpoint desired, there are still loopholes that are not looked into that can harm the endpoint as well as the end user as well. The paper will be looking into the reasons why a secure endpoint delivery platform for electronic and remote voting systems is needed we experiment using a random online voting system and then test in to two phases which are the effectiveness of the antivirus software to invoke a protected browser and the second phase of the test the same online voting system on the same localhost environment by the use of the alternative of the On Vue Software such as the safe exam browser.;endpoint, online voting, remote voting, security;;;;;
SpringerLink;http://link.springer.com/chapter/10.1007/978-3-662-54970-4_22;10.1007/978-3-662-54970-4_22;Eline VanrykelGunes AcarMichael HerrmannClaudia Diaz;2017;FC 2016;Conference;Leaky Birds: Exploiting Mobile Application Traffic for Surveillance;"Over the last decade, mobile devices and mobile applications have become pervasive in their usage. Although many privacy risks associated with mobile applications have been investigated, prior work mainly focuses on the collection of user information by application developers and advertisers. Inspired by the Snowden revelations, we study the ways mobile applications enable mass surveillance by sending unique identifiers over unencrypted connections. Applying passive network fingerprinting, we show how a passive network adversary can improve his ability to target mobile users’ traffic.

Our results are based on a large-scale automated study of mobile application network traffic. The framework we developed for this study downloads and runs mobile applications, captures their network traffic and automatically detects identifiers that are sent in the clear. Our findings show that a global adversary can link 57% of a user’s unencrypted mobile traffic. Evaluating two countermeasures available to privacy aware mobile users, we find their effectiveness to be very limited against identifier leakage.
";network traffic, mobile application, user traffic, passive network, mobile traffic;;;;;
